date,bullish,bearish,neutral,sentiment_index,sentiment_scaled,sentiment_smoothed
2008-12-11,0.002576061,0.49748492,0.49993902,-0.49490887,0.25254557,-0.2114602678329902
2008-12-17,0.99994195,3.4225806e-05,2.386042e-05,0.99990773,0.99995387,0.0742001437973678
2008-12-18,0.0020971054,0.99789834,4.4887242e-06,-0.9958012,0.0020993948,0.07162734336543508
2008-12-24,0.0010798363,0.99817085,0.0007493224,-0.997091,0.0014545023,0.07202659230603915
2008-12-30,0.50874233,0.4908939,0.0003637505,0.017848402,0.5089242,0.07457665460450309
2008-12-31,0.00097384176,0.9990244,1.8319543e-06,-0.9980506,0.00097471476,-0.2108589027609144
2009-01-07,0.9999999,3.574449e-08,1.365478e-07,0.9999998,0.9999999,-0.20972795571599687
2009-01-08,0.0009802089,3.9215367e-05,0.9989806,0.0009409935,0.5004705,-0.1388922610370043
2009-01-12,0.9716196,0.024706291,0.003674161,0.9469133,0.9734566,-0.14646289390345504
2009-01-20,6.196291e-05,0.9999312,6.786393e-06,-0.9998692,6.5386295e-05,-0.1470440391900151
2009-01-21,0.49551004,0.50401014,0.00047981422,-0.008500129,0.49574995,-0.005816772571831409
2009-01-23,0.0026962406,0.99730194,1.7289096e-06,-0.9946057,0.00269714,-0.15045307575824804
2009-01-28,0.48737943,0.51110923,0.0015114029,-0.023729801,0.4881351,-0.011264394428248383
2009-01-30,0.00015124428,0.99978966,5.9146376e-05,-0.99963844,0.00018078089,-0.2969270029155138
2009-02-02,9.410933e-06,0.9999795,1.1113763e-05,-0.9999701,1.4960766e-05,-0.4399142989090511
2009-02-09,0.00042085638,0.99877447,0.00080462,-0.9983536,0.00082319975,-0.7178095706871578
2009-02-17,0.9342449,0.05063391,0.015121262,0.88361096,0.9418055,-0.44874097193990437
2009-02-18,0.4330746,0.5655143,0.0014110971,-0.13243973,0.43378013,-0.46644662959235056
2009-02-23,0.0040196963,0.99593437,4.5975066e-05,-0.9919147,0.004042655,-0.4660621966634478
2009-02-25,0.011789834,0.9880827,0.00012743303,-0.97629285,0.011853576,-0.6021426320075989
2009-03-02,0.0075973966,0.8928177,0.09958481,-0.8852203,0.057389855,-0.5857971821512494
2009-03-03,0.9985405,0.0013650194,9.447339e-05,0.9971755,0.9985877,-0.3004906688417707
2009-03-04,0.9999918,4.7336575e-06,3.4613952e-06,0.99998707,0.99999356,-0.01501343079975673
2009-03-05,0.0004152836,0.9978364,0.0017483579,-0.99742115,0.0012894273,-0.28373230355126516
